dataset,stage,module,layer,label_type,k,n_examples,dim,mean,std,ci_lower,ci_upper,n_seeds,n_splits
triviaqa,pregen,attention,0,hard,32.0,1000,4096,0.5607726213759779,0.041439168933023664,0.545367935553766,0.5766020952935649,5,5
triviaqa,pregen,attention,0,hard,256.0,1000,4096,0.5382682102316306,0.046052773300593194,0.5202185692542951,0.5554539835720586,5,5
triviaqa,pregen,attention,0,hard,,1000,4096,0.5520937739684001,0.03976136917165777,0.536663520718285,0.5670297754640283,5,5
triviaqa,pregen,attention,0,soft_binarized,32.0,1000,4096,0.5818977271987756,0.05040626200408321,0.5633775610574617,0.6021571092260336,5,5
triviaqa,pregen,attention,0,soft_binarized,256.0,1000,4096,0.5669962870342597,0.038410360973030494,0.5525230593527276,0.5817582190632038,5,5
triviaqa,pregen,attention,0,soft_binarized,,1000,4096,0.5580410556039692,0.03964041239869178,0.5429700338565562,0.5734475870455596,5,5
triviaqa,pregen,attention,16,hard,32.0,1000,4096,0.7239890243902439,0.055331105474629036,0.7020733696694279,0.7454097715332106,5,5
triviaqa,pregen,attention,16,hard,256.0,1000,4096,0.7564619324282864,0.03234063773344902,0.743641521633878,0.7687764332384186,5,5
triviaqa,pregen,attention,16,hard,,1000,4096,0.7556228457202024,0.03623210832387736,0.7415424904126401,0.7695965387233471,5,5
triviaqa,pregen,attention,16,soft_binarized,32.0,1000,4096,0.7373971775899207,0.03090951491840717,0.7249226430343734,0.7487379367068312,5,5
triviaqa,pregen,attention,16,soft_binarized,256.0,1000,4096,0.767314162396697,0.026991545690294178,0.7568175401394907,0.777620521153729,5,5
triviaqa,pregen,attention,16,soft_binarized,,1000,4096,0.7672623636848761,0.028611391100656587,0.756268730998117,0.7783608634715994,5,5
triviaqa,pregen,ffn_neuron,0,hard,32.0,1000,14336,0.5491757516490259,0.04289511410870177,0.5329123907760009,0.5652809169590811,5,5
triviaqa,pregen,ffn_neuron,0,hard,256.0,1000,14336,0.5342059921000154,0.04891472773643356,0.5143993210231631,0.5519553222551388,5,5
triviaqa,pregen,ffn_neuron,0,hard,,1000,14336,0.5474786355269213,0.041048249005673824,0.5317157593428824,0.5630908699570486,5,5
triviaqa,pregen,ffn_neuron,0,soft_binarized,32.0,1000,14336,0.557127975741484,0.052344156863301,0.5373209947180755,0.576691184050635,5,5
triviaqa,pregen,ffn_neuron,0,soft_binarized,256.0,1000,14336,0.5419178183900661,0.04153909088307263,0.5262365802112414,0.558108427577349,5,5
triviaqa,pregen,ffn_neuron,0,soft_binarized,,1000,14336,0.5578622419308368,0.04155975437929445,0.5416998525181729,0.5737192065961345,5,5
triviaqa,pregen,ffn_neuron,16,hard,32.0,1000,14336,0.7335981237536433,0.056630551277671866,0.711202306838664,0.7539523131423531,5,5
triviaqa,pregen,ffn_neuron,16,hard,256.0,1000,14336,0.7616691449992331,0.044103645399079294,0.7440748118959962,0.7780260781465717,5,5
triviaqa,pregen,ffn_neuron,16,hard,,1000,14336,0.7854838807715907,0.038535731087671186,0.7704296853907809,0.7997766874952063,5,5
triviaqa,pregen,ffn_neuron,16,soft_binarized,32.0,1000,14336,0.76323289808335,0.036251978014593206,0.7490427691012741,0.7765279996944315,5,5
triviaqa,pregen,ffn_neuron,16,soft_binarized,256.0,1000,14336,0.7979462702620198,0.022718215138780525,0.7893459392838993,0.8065696942408801,5,5
triviaqa,pregen,ffn_neuron,16,soft_binarized,,1000,14336,0.8181628880318382,0.02291488832160132,0.809586426879837,0.8271369649744158,5,5
